TimeofDay,AirTemp,Humidity,Dewpoint,BarPres,WindSpeed,SolarRad
30,2.905,79.5,-0.29,102.26,3.829,4.01
45,2.887,79.5,-0.29,102.28,3.581,4
100,2.88,79,-0.41,102.29,3.749,3.93
115,2.827,79.4,-0.38,102.3,3.307,3.95
130,2.793,79.3,-0.43,102.31,3.521,3.98
145,2.467,77.5,-1.07,102.35,4.344,3.95
200,2.318,77.9,-1.14,102.36,4.075,3.9
215,2.225,77.4,-1.31,102.35,4.056,3.84
230,2.139,77.1,-1.46,102.38,3.79,3.89
245,2.04,77.2,-1.53,102.4,4.113,3.84
300,1.996,77.8,-1.46,102.41,4.003,3.84
315,1.998,78.3,-1.39,102.43,3.237,3.83
330,1.962,78.4,-1.39,102.42,3.619,3.86
345,1.903,78.6,-1.41,102.43,3.517,3.89
400,1.757,76.6,-1.91,102.43,4.076,3.83
415,1.617,74.7,-2.38,102.47,4.636,3.85
430,1.391,73.4,-2.83,102.48,4.254,3.77
445,1.214,73.5,-3,102.49,4.454,3.79
500,1.159,72.7,-3.19,102.48,4.651,3.83
515,1.127,72.1,-3.33,102.51,4.482,3.81
530,1.048,72,-3.41,102.55,4.445,3.75
545,0.949,72.1,-3.5,102.55,4.111,3.77
600,0.829,72.8,-3.5,102.59,3.611,3.75
615,0.855,72.5,-3.53,102.61,4.283,3.71
630,0.866,72.5,-3.53,102.63,4.143,3.71
645,0.942,72.5,-3.44,102.66,3.938,3.67
700,0.963,72.1,-3.5,102.68,3.659,3.69
715,1.012,71.6,-3.53,102.69,3.261,3.68
730,1.047,70.9,-3.64,102.7,3.7,4.07
745,1.008,70.8,-3.7,102.72,3.865,4.69
800,0.946,70.7,-3.79,102.74,3.683,10.32
815,0.939,70.3,-3.87,102.75,3.959,21.26
830,0.908,70.3,-3.87,102.77,3.731,43.68
845,0.829,68.9,-4.23,102.79,4.306,65.89
900,1.042,66.14,-4.56,102.82,4.486,158.7
915,1.381,63.69,-4.74,102.86,5.212,242.3
930,1.963,62.12,-4.53,102.91,4.5,344
945,1.853,61.31,-4.8,102.94,4.991,205.6
